연번,시도,시군구,기관명,주소,신청유형,전화번호,운영가능일자
72,부산,서구,부산대학교병원,부산광역시 서구 구덕로 179,외래진료 및 입원,051-240-7000,2020.02.27.
73,부산,서구,삼육부산병원,부산광역시 서구 대티로170,외래진료,051-242-9751,2020.02.26.
74,부산,서구,동아대학교병원,부산광역시 서구 대신공원로 26,외래진료 및 입원,051-240-2000,2020.03.09.
75,부산,수영구,BHS한서병원,부산광역시 수영구 수영로 615,외래진료,051-756-0081,2020.02.28.
76,부산,수영구,좋은강안병원,부산광역시 수영구 수영로493,외래진료,051-625-0900,2020.02.26.
77,부산,수영구,부산센텀병원,부산광역시 수영구 수영로 677,외래진료,051-750-5000,2020.03.03.
78,부산,연제구,한양류마디병원,부산광역시 연제구 과정로272(연산동),외래진료,051-752-1990,2020.02.25.
79,부산,영도구,해동병원,부산광역시 영도구 태종로133,외래진료,051-412-6161,2020.02.26.
80,부산,영도구,영도병원,부산광역시 영도구 태종로85,외래진료,051-412-8881,2020.02.25.
81,부산,영도구,에스병원,부산광역시 영도구 동삼로 55-1,외래진료,051-412-7000,2020.02.29.
82,부산,진구,온종합병원,부산광역시 진구 가야대로 721,외래진료,051-607-0114,2020.03.07.
83,부산,진구,오성병원,부산광역시 진구 중앙대로 910,외래진료,051-850-0800,2020.02.28.
84,부산,해운대구,인제대학교 해운대백병원,부산광역시 해운대구 해운대로 875,외래진료 및 입원,051-797-2665,2020.03.02.
85,부산,해운대구,해운대부민병원,부산광역시 해운대구 해운대로584,외래진료 및 입원,051-602-8000,2020.02.25.
86,부산,해운대구,효성시티병원,부산광역시 해운대구 해운대로 135,외래진료,051-709-3000,2020.03.03.
87,인천,강화군,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,외래진료 및 입원,032-290-0001,2020.03.02.
88,인천,계양구,한림병원,인천광역시 계양구 장제로722,외래진료 및 입원,032-540-9114,2020.02.28.
89,인천,계양구,메디플렉스 세종병원,인천광역시 계양구 계양문화로20,외래진료 및 입원,032-240-8000,2020.02.25.
90,인천,계양구,더드림병원,인천광역시 계양구 계양대로 123,외래진료,032-282-7575,2020.03.02.
91,인천,남동구,길병원,인천광역시 남동구 남동대로 774번길 21,외래진료 및 입원,032-460-3114,2020.02.27.
92,인천,동구,인천백병원,인천광역시 동구 샛골로 214,외래진료,032-765-7070,2020.02.27.
93,인천,미추홀구,인천사랑병원,인천광역시 미추홀구 미추홀대로 726,외래진료,032-457-2000,2020.02.28.
94,인천,미추홀구,현대유비스병원,인천광역시 미추홀구 독배로503,외래진료,032-888-7575,2020.02.29.
95,인천,미추홀구,나누리병원,인천광역시 미추홀구 인주대로 485,외래진료,1688-9797,2020.03.05.
96,인천,미추홀구,성모윌병원,인천광역시 미추홀구 경인로 488,외래진료,032-421-0075,2020.03.09.
97,인천,부평구,가톨릭대학교 인천성모병원,인천광역시 부평구 동수로 56,외래진료 및 입원,032-1544-9004,2020.03.02.
98,인천,부평구,부평세림병원,인천광역시 부평구 부평대로 175,외래진료,032-524-0591,2020.02.27.
99,인천,부평구,한길안과병원,인천광역시 부평구 부평대로 35,외래진료,032-503-3322,2020.03.10.
100,인천,부평구,나누리병원,인천광역시 부평구 장제로 156,외래진료,1688-9797,2020.03.10.
101,인천,서구,뉴성민병원,인천광역시 서구 신석로 70,외래진료,032-726-1000,2020.02.29.
102,인천,서구,나은병원,인천광역시 서구 원적로23,외래진료 및 입원,032-584-0114,2020.02.26.
103,인천,서구,검단탑병원,인천광역시 서구 청마로19번길5,외래진료 및 입원,032-590-0114,2020.02.25.
104,인천,서구,온누리병원,인천광역시 서구 완정로 119,외래진료,032-567-6200,2020.03.03.
105,인천,서구,가톨릭관동대학교 국제성모병원,인천광역시 서구  심곡로100번길 25,외래진료 및 입원,1600-8291 ,2020.03.11.
106,인천,연수구,나사렛국제병원,인천광역시 연수구 먼우금로 98,외래진료 및 입원,032-899-9999,2020.02.27.
107,인천,연수구,인천적십자병원,인천광역시 연수구 원인재로263,외래진료,032-899-4000,2020.02.26.
108,인천,중구,인천기독병원,인천광역시 중구 답동로30번길10,외래진료,032-270-8000,2020.02.26.
109,인천,중구,인하대학교병원,인천광역시 중구 인항로 27,외래진료 및 입원,032-890-2114,2020.03.02.
110,대구,남구,영남대학교병원,대구광역시 남구 현충로 170,외래진료,053-623-8001,2020.03.02.
111,대구,남구,드림병원,대구광역시 남구 대명로 153,외래진료,053-640-8800,2020.03.02.
112,대구,달서구,구병원,대구광역시 달서구 감삼북길 141,외래진료,053-560-9114,2020.03.02.
113,대구,달서구,삼일병원,대구광역시 달서구 월배로 446,외래진료,053-659-3100,2020.03.03.
114,대구,달서구,대구보광병원,대구광역시 달서구 구마로 128,외래진료,053-651-3232,2020.03.02.
115,대구,달서구,참조은병원,대구광역시 달서구 월배로 404,외래진료,053-630-8000 ,2020.03.11.
116,대구,달서구,세강병원,대구광역시 달서구 구마로 220,외래진료,053-620-6248,2020.03.09.
117,대구,동구,대구파티마병원,대구광역시 동구 아양로99,외래진료 및 입원,053-1688-7770,2020.02.27.
118,대구,북구,대구가톨릭대학교칠곡가톨릭병원,대구광역시 북구 칠곡중앙대로440,외래진료,053-320-2500,2020.02.29.
119,대구,북구,대구시티병원,대구광역시 북구 동북로 270,외래진료,053-959-7114,2020.03.04.
120,대구,서구,서대구병원,대구광역시 서구 국채보상로 200,외래진료,053-558-5800,2020.03.11.
121,대구,수성구,천주성삼병원,대구광역시 수성구 달구벌대로 3190,외래진료,053-790-1000,2020.03.02.
122,대구,중구,경북대학교병원,대구광역시 중구 동덕로 130,외래진료,053-420-5114,2020.02.28.
123,대구,중구,곽병원,대구광역시 중구 국채보상로 531,외래진료,053-252-2401,2020.03.12.
124,대구,중구,광개토병원,대구광역시 중구 중앙대로 366,외래진료,053-565-1190,2020.03.02.
125,대구,중구,푸른병원,대구광역시 중구 태평로 102,외래진료,053-471-2800,2020.03.04.
126,광주,광산구,첨단종합병원,광주광역시 광산구 첨단중앙로 170번길 59,외래진료,062-601-8114,2020.03.07.
127,광주,광산구,KS병원,광주광역시 광산구 왕버들로 220,외래진료,062-975-9000,2020.03.10.
128,광주,남구,광주기독병원,광주광역시 남구 양림로 37,외래진료 및 입원,062-650-5000,2020.03.05.
129,광주,동구,전남대학교병원,광주광역시 동구 제봉로42,외래진료 및 입원,1899-0000,2020.03.09.
130,광주,서구,서광병원,광주광역시 서구 금화로 59번길6,외래진료,062-600-8000,2020.03.04.
131,대전,동구,대전한국병원,대전광역시 동구 동서대로1672,외래진료,042-606-1000,2020.02.26.
132,대전,서구,대전을지대학교병원,대전광역시 서구 둔산서로95,외래진료 및 입원,042-259-1000,2020.02.26.
133,대전,서구,건양대학교병원,대전광역시 서구 가수원동 관저동로 158,외래진료 및 입원,1577-3330,2020.03.06.
134,대전,유성구,유성선병원,대전광역시 유성구 북유성대로93,외래진료,042-1588-7011,2020.02.25.
135,대전,중구,가톨릭대학교 대전성모병원,대전광역시 중구 대흥로64,외래진료 및 입원,042-220-9114,2020.02.26.
136,대전,중구,대전선병원,대전광역시 중구 목중로29,외래진료 및 입원,042-220-8114,2020.02.26.
137,울산,남구,울산병원,울산광역시 남구 월평로171번길 13,외래진료,052-259-5000,2020.02.27.
138,울산,남구,좋은삼정병원,울산광역시 남구 북부순환도로 51,외래진료,052-220-7500,2020.03.05.
139,울산,남구,중앙병원,울산광역시 남구 문수로 480번길 10,외래진료,052-226-1100,2020.03.02.
140,울산,남구,울산보람병원,울산광역시 남구 돋질로336번길 10,외래진료,052-278-0114,2020.03.05.
141,울산,동구,울산대학교병원,울산광역시 동구 방어진순환도로877,외래진료 및 입원,052-250-7000,2020.02.25.
142,울산,북구,울산시티병원,울산광역시 북구 산업로1007,외래진료,052-280-9000,2020.02.26.
143,울산,북구,21세기좋은병원,울산광역시 북구 호계로 285,외래진료,052-290-2100,2020.02.29.
144,울산,울주군,서울산보람병원,울산광역시 울주군 삼남면 중평로 53,외래진료,052-255-7114,2020.02.27.
145,울산,중구,동강병원,울산광역시 중구 태화로 239,외래진료,052-241-1114,2020.03.04.
146,경기,고양시 덕양구,명지병원,경기도 고양시 덕양구 화수로 14번길 55,외래진료 및 입원,031-810-5114,2020.02.25.
147,경기,고양시 덕양구,자인메디병원,경기도 고양시 덕양구 덕양구 중앙로555,외래진료,031-930-3114,2020.02.25.
148,경기,고양시 일산동구,국민건강보험공단 일산병원,경기도 고양시 일산동구 일산로100,외래진료 및 입원,031-900-0114,2020.02.26.
149,경기,고양시 일산동구,국립암센터,경기도 고양시 일산동구 일산로323,외래진료,031-920-0001,2020.02.26.
150,경기,고양시 일산동구,동국대학교 일산불교병원,경기도 고양시 일산동구 동국로27,외래진료 및 입원,031-961-7000,2020.02.26.
151,경기,고양시 일산동구,일산복음의료재단,경기도 고양시 일산동구 고양대로 760,외래진료,031-977-5000,2020.02.29.
152,경기,고양시 일산서구,인제대학교 일산백병원,경기도 고양시 일산서구 주화로170,외래진료 및 입원,031-910-7511,2020.02.25.
153,경기,광명시,광명성애병원,경기도 광명시 디지털로 36,외래진료,02-2680-7114,2020.03.06.
154,경기,광주시,참조은병원,경기도 광주시 광주대로45,외래진료,031-767-7575,2020.02.28.
155,경기,구리시,한양대학교구리병원,경기도 구리시 경춘로153,외래진료 및 입원,031-560-2114,2020.02.25.
156,경기,군포시,원광대학교의과대학산본병원,경기도 군포시 산본로 321,외래진료,031-390-2300,2020.03.09.
157,경기,군포시,지샘병원,경기도 군포시 군포로 591,외래진료,031-389-3000,2020.03.02.
158,경기,김포시,김포우리병원,경기도 김포시 감암로11,외래진료 및 입원,031-999-1000,2020.02.25.
159,경기,김포시,뉴고려병원,경기도 김포시 김포한강3로283,외래진료 및 입원,031-980-9114,2020.02.26.
160,경기,김포시,히즈메디병원,경기도 김포시 김포대로 681,외래진료,1588-0223,2020.03.05.
161,경기,남양주시,남양주한양병원,경기도 남양주시 오남읍 양지로47-55,외래진료,031-510-0114,2020.02.26.
162,경기,남양주시,중앙대의료원교육협력현대병원,경기도 남양주시 진접읍 봉현로21,외래진료 및 입원,031-574-9119,2020.02.25.
163,경기,남양주시,베리굿병원,경기도 남양주시 별내5로5번길5,외래진료,031-567-8585,2020.03.09.
164,경기,부천시,세종병원,경기도 부천시 호현로489번길 28,외래진료 및 입원,1599-6677,2020.02.25.
165,경기,부천시,가톨릭대학교 부천성모병원,경기도 부천시 소사로327,외래진료 및 입원,032-1577-0675,2020.02.26.
166,경기,부천시,순천향대학교부속부천병원,경기도 부천시 조마루로170,외래진료 및 입원,032-621-5114,2020.02.26.
167,경기,부천시,다니엘종합병원,경기도 부천시 중동로 361,외래진료,032-670-0001,2020.02.29.
168,경기,부천시,예손병원,경기도 부천시 부천로 206,외래진료,1666-7582,2020.03.05.
169,경기,부천시,부천우리병원,경기도 부천시 원종동 277-14,외래진료,032-672-4100,2020.03.03.
170,경기,성남시 분당구,분당제생병원,경기도 성남시 분당구 서현로 108번길 20,외래진료 및 입원,031-779-0114,2020.03.02.
171,경기,성남시 분당구,분당서울대학교병원,경기도 성남시 분당구 구미로 173번길 82,외래진료 및 입원,031-1588-3369,2020.03.01.
172,경기,성남시 분당구,바른세상병원,경기도 성남시 분당구 야탑로 75번길 5,외래진료,1577-3175,2020.03.02.
173,경기,성남시 분당구,분당척병원,경기도 성남시 분당구 성남대로932,외래진료,1599-7500,2020.03.13.
174,경기,성남시 분당구,서울나우병원,경기도 성남시 분당구 분당로 43,외래진료,031-788-5600,2020.03.02.
175,경기,성남시 수정구,정병원,경기도 성남시 수정구 수정로 76,외래진료 및 입원,031-750-6000,2020.02.28.
176,경기,성남시 수정구,지우병원,경기도 성남시 수정구 수정로 183,외래진료,1544-6686,2020.03.05.
177,경기,성남시 중원구,바른마디병원,경기도 성남시 중원구  광명로 330,외래진료,031-735-9110,2020.02.26.
178,경기,수원시 권선구,제이에스병원,"경기도 수원시 권선구 금곡로196번길, 76",외래진료,1800-5446,2020.03.13.
179,경기,수원시 영통구,아주대학교병원,경기도 수원시 영통구 월드컵로 164,외래진료 및 입원,031-1688-6114,2020.02.27.
180,경기,수원시 영통구,나누리수원병원,경기도 수원시 영통구 중부대로 295,외래진료,1688-9797,2020.03.10.
181,경기,수원시 팔달구,가톨릭대학교 성빈센트병원,경기도 수원시 팔달구 중부대로 93,외래진료 및 입원,1577-8588,2020.03.09.
182,경기,수원시 팔달구,동수원병원,경기도 수원시 팔달구 중부대로 165,외래진료,031-210-0114,2020.03.02.
183,경기,수원시 팔달구,이춘택병원,경기도 수원시 팔달구 팔달구 매산로138,외래진료,1588-2927,2020.02.25.
184,경기,수원시 팔달구,윌스기념병원,경기도 수원시 팔달구 경수대로 437,외래진료,031-223-2233,2020.03.03.
185,경기,시흥시,신천연합병원,경기도 시흥시 복지로 57,외래진료,031-310-6300,2020.02.28.
186,경기,시흥시,센트럴병원,경기도 시흥시 공단1대로237,외래진료,031-8041-3854,2020.02.27.
187,경기,시흥시,시화병원,경기도 시흥시 옥구천서로337,외래진료,031-432-2600,2020.02.26.
188,경기,안산시,근로복지공단안산병원,경기도 안산시 구룡로 87,외래진료,031-500-1114,2020.03.05.
189,경기,안산시 단원구,고려대학교안산병원,경기도 안산시 단원구 적금로 123,외래진료 및 입원,031-412-5114,2020.03.05.
190,경기,안산시 단원구,단원병원,경기도 안산시 단원구 원포공원1로 20,외래진료,031-8040-6600,2020.03.02.
191,경기,안산시 단원구,온누리병원,경기도 안산시 단원구 선부로 201,외래진료,031-412-2200,2020.03.09.
192,경기,안산시 상록구,사랑의병원,경기도 안산시 상록구 예술광장로 69,외래진료,031-439-3000,2020.03.02.
193,경기,안성시,안성성모병원,경기도 안성시 시장길58,외래진료,031-675-6007,2020.02.26.
194,경기,안양시 동안구,한림대학교성심병원,경기도 안양시 동안구 관평로170번길 22,외래진료 및 입원,031-380-1500,2020.03.02.
195,경기,안양시 동안구,안양윌스기념병원,경기도 안양시 동안구 경수대로 560,외래진료,031-460-1114,2020.03.06.
196,경기,여주시,연세새로운병원,경기도 여주시 영릉로 22,외래진료,031-885-7582,2020.03.04.
197,경기,여주시,세종여주병원,경기도 여주시 청심로 39,외래진료 및 입원,031-880-7700,2020.03.09.
198,경기,오산시,오산한국병원,경기도 오산시 밀머리로 1번길 16,외래진료,1566-3534,2020.02.27.
199,경기,오산시,조은오산병원,경기도 오산시 오산로 307,외래진료,1544-5355,2020.03.06.
200,경기,용인시 기흥구,연세대학교 용인세브란스병원,경기도 용인시 기흥구 동백죽전대로 363,외래진료,1899-1004,2020.03.03.
201,경기,용인시 기흥구,강남병원,경기도 용인시 기흥구 중부대로411,외래진료 및 입원,031-300-0114,2020.02.25.
202,경기,용인시 처인구,다보스병원,경기도 용인시 처인구 처인구백옥대로1082번길 18,외래진료,031-8021-2114,2020.02.25.
203,경기,의정부시,가톨릭대학교 의정부성모병원,경기도 의정부시 천보로 271,외래진료 및 입원,031-1661-7500,2020.03.03.
204,경기,의정부시,의정부백병원,경기도 의정부시 금신로 322,외래진료,031-856-8111,2020.03.05.
205,경기,의정부시,성베드로병원,경기도 의정부시 평화로622,외래진료,031-840-1700,2020.02.28.
206,경기,이천시,경기도의료원 이천병원,경기도 이천시 경충대로 2742 번길,외래진료 및 입원,031-630-4200,2020.03.06.
207,경기,이천시,이천엘리야병원,경기도 이천시 장호원읍 서동대로 8793,외래진료,1800-4275,2020.02.28.
208,경기,파주시,메디인병원,경기도 파주시 시청로6,외래진료,031-1566-1991,2020.02.26.
209,경기,평택시,박애병원,경기도 평택시 평택2로20번길3,외래진료 및 입원,031-652-2121,2020.02.26.
210,경기,평택시,평택굿모닝병원,경기도 평택시 중앙로338,외래진료 및 입원,031-659-7700,2020.02.27.
211,경기,평택시,평택성모병원,경기도 평택시 평택로284,외래진료 및 입원,031-1800-8800,2020.02.26.
212,경기,평택시,박병원,경기도 평택시 송탄로 33,외래진료 및 입원,031-666-2600,2020.03.04.
213,경기,포천시,포천우리병원,경기도 포천시  소홀읍 호국로 661,외래진료,031-542-0222,2020.02.26.
214,경기,하남시,하남SD병원,경기도 하남시 덕풍공원로 41,외래진료,031-793-2882,2020.03.02.
215,경기,화성시,화성중앙종합병원,경기도 화성시 향남읍 발안로5,외래진료 및 입원,031-352-8114,2020.02.28.
216,경기,화성시,한림대학교 동탄성심병원,경기도 화성시 큰재봉길7,외래진료 및 입원,031-8086-3000,2020.02.26.
217,경기,화성시,원광종합병원,경기도 화성시 화산북로21,외래진료,031-8077-7200,2020.02.26.
218,경기,화성시,화성디에스병원,경기도 화성시 남양읍 시청로 160번길 46-13,외래진료 및 입원,1600-5982,2020.02.25.
219,강원,강릉시,강릉고려병원,강원도 강릉시 옥가로 30,외래진료,033-649-0100,2020.03.10.
220,강원,강릉시,강릉아산병원,강원도 강릉시 사천면 방동길 38,외래진료 및 입원,033-610-3114,2020.03.12.
221,강원,동해시,근로복지공단 동해병원,강원도 동해시 하평로 11,외래진료,033-530-3100,2020.03.09.
222,강원,속초시,속초보광병원,강원도 속초시 중앙로 11,외래진료,033-639-8500,2020.02.28.
223,강원,춘천시,한림대학교춘천성심병원,강원도 춘천시 삭주로77,외래진료,033-240-5000,2020.02.28.
224,강원,춘천시,강원대학교병원,강원도 춘천시 백령로156,외래진료 및 입원,033-258-2000,2020.02.25.
225,강원,홍천군,홍천아산병원,강원도 홍천군 홍천읍 산림공원1길 17,외래진료,033-430-5151,2020.03.06.
226,충북,제천시,제천서울병원,충청북도 제천시 숭문로57,외래진료,043-642-7606,2020.02.28.
227,충북,제천시,제천명지병원,충청북도 제천시 내토로 991,외래진료,043-640-8114,2020.03.02.
228,충북,진천군,진천성모병원,충청북도 진천군 진천읍 중앙북로24,외래진료,043-533-1711,2020.02.28.
229,충북,청주시 상당구,한국병원,충청북도 청주시 상당구 단재로106,외래진료,043-222-7000,2020.02.25.
230,충북,청주시 상당구,효성병원,충청북도 청주시 상당구 쇠내로 16,외래진료,043-221-5000,2020.03.02.
231,충북,청주시 청원구,청주성모병원,충청북도 청주시 청원구 주성구 173-19,외래진료,043-219-8000,2020.03.09.
232,충북,청주시 흥덕구,하나병원,충청북도 청주시 흥덕구 2순환로 1262(가경동),외래진료,043-230-6114,2020.02.28.
233,충북,청주시 흥덕구,베스티안병원,충청북도 청주시 흥덕구 오송읍 오송생명1로 191,외래진료,043-910-7575,2020.02.29.
234,충북,충주시,건국대학교 충주병원,충청북도 충주시 국원대로 82,외래진료,043-840-8200,2020.02.27.
235,충남,논산시,백제병원,충청남도 논산시 시민로294번길14,외래진료,041-730-8888,2020.02.25.
236,충남,당진시,당진종합병원,충청남도 당진시 반촌로 5-15,외래진료,041-357-0100,2020.02.27.
237,충남,서산시,서산중앙병원,충청남도 서산시 수석산업로5,외래진료,041-661-1000,2020.02.26.
238,충남,아산시,아산충무병원,충청남도 아산시 문화로 381(모종동),외래진료 및 입원,041-536-6666,2020.02.27.
239,충남,아산시,현대병원,충청남도 아산시 시민로 388,외래진료,041-546-3636,2020.03.04.
240,충남,예산군,예산종합병원,충청남도 예산군 예산읍 금오대로 94,외래진료,041-330-4000,2020.03.04.
241,충남,천안시 동남구,단국대학교병원,충청남도 천안시 동남구 망향로 201,외래진료 및 입원,041-1588-0063,2020.02.29.
242,충남,천안시 동남구,순천향대학교 부속 천안병원,충청남도 천안시 동남구 순천향6길 31,외래진료 및 입원,041-570-2114,2020.02.27.
243,충남,천안시 동남구,천안우리병원,충청남도 천안시 동남구 남부대로 350,외래진료,041-590-9000,2020.03.02.
244,충남,천안시 서북구,천안충무병원,충청남도 천안시 서북구 다가말3길8,외래진료 및 입원,041-570-7555,2020.02.25.
